time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819171.068753   29.590    0.740    -0.455    0.262    0.180 | -0.008    0.029    0.003
1768819171.102301   18.284    0.457    -0.308    0.046    -0.347 | -0.008    0.029    0.003
1768819171.132573   19.056    0.476    0.086    0.280    -0.943 | -0.032    0.002    -0.005
1768819171.164982   32.956    0.824    0.598    1.527    -0.863 | -0.032    0.002    -0.005
1768819171.196831   12.154    0.304    -1.252    0.722    -0.892 | -0.033    0.002    -0.006
1768819171.231164   25.362    0.634    -0.211    -0.886    -1.000 | -0.033    0.002    -0.006
1768819171.262212   21.554    0.539    1.861    -1.104    -0.453 | -0.035    0.001    -0.006
1768819171.296605   30.635    0.766    0.192    0.196    -1.000 | -0.035    0.001    -0.006
1768819171.339740   3.853    0.096    1.888    1.334    -1.000 | -0.035    -0.000    -0.007
1768819171.370399   0.000    0.000    -2.475    -0.843    -1.000 | -0.035    -0.000    -0.007
1768819171.401270   17.878    0.447    -0.040    1.538    -1.000 | -0.036    -0.001    -0.007
1768819171.431425   20.821    0.521    -0.159    -2.085    -0.941 | -0.036    -0.001    -0.007
1768819171.458214   38.134    0.953    0.615    -1.370    -1.000 | -0.036    -0.002    -0.008
1768819171.489465   19.133    0.478    0.153    0.443    -0.973 | -0.036    -0.002    -0.008
1768819171.526933   18.507    0.463    0.744    -0.506    -1.000 | -0.037    -0.003    -0.009
1768819171.570235   29.375    0.734    2.592    -1.577    -1.000 | -0.037    -0.003    -0.009
1768819171.604648   28.422    0.711    -1.695    0.348    -0.953 | -0.037    -0.003    -0.009
1768819171.643781   17.255    0.431    -2.227    -0.855    -0.987 | -0.037    -0.003    -0.009
1768819171.686212   22.981    0.575    -1.379    2.151    -1.000 | -0.037    -0.003    -0.010
1768819171.738234   12.558    0.314    -0.795    -2.017    -0.942 | -0.037    -0.003    -0.010
1768819171.774759   39.505    0.988    2.169    -1.468    -1.000 | -0.038    -0.003    -0.010
1768819171.811684   9.235    0.231    1.550    2.679    -1.000 | -0.038    -0.003    -0.010
1768819171.842593   0.000    0.000    -1.547    0.537    -1.000 | -0.038    -0.002    -0.010
1768819171.877843   4.494    0.112    -0.874    1.947    -1.000 | -0.038    -0.002    -0.010
1768819171.907505   26.554    0.664    -2.646    -1.683    -1.000 | -0.038    -0.002    -0.010
1768819171.937016   36.293    0.907    -3.000    -0.535    -1.000 | -0.038    -0.002    -0.010
1768819171.964855   20.077    0.502    -1.036    -0.389    -0.923 | -0.038    -0.002    -0.011
1768819171.993311   5.738    0.143    2.403    0.751    -1.000 | -0.038    -0.002    -0.011
1768819172.031836   20.977    0.524    2.834    0.968    -0.981 | -0.038    -0.002    -0.011
1768819172.068892   29.701    0.743    2.570    1.549    -1.000 | -0.038    -0.002    -0.011
1768819172.100767   37.361    0.934    2.969    1.807    -1.000 | -0.038    -0.002    -0.011
1768819172.128218   38.160    0.954    -1.939    1.999    -0.929 | -0.038    -0.002    -0.011
1768819172.154403   0.000    0.000    -1.523    2.646    -1.000 | -0.039    -0.003    -0.012
1768819172.182184   37.756    0.944    -1.709    2.124    -1.000 | -0.039    -0.003    -0.012
1768819172.206859   22.298    0.557    2.046    -2.311    -1.000 | -0.040    -0.004    -0.013
1768819172.237998   17.028    0.426    -0.896    3.000    -0.719 | -0.040    -0.004    -0.013
1768819172.265691   0.000    0.000    2.136    1.924    -0.959 | -0.039    -0.006    -0.014
1768819172.290985   36.688    0.917    -3.000    2.023    -1.000 | -0.039    -0.006    -0.014
1768819172.319431   11.986    0.300    -2.610    2.840    -1.000 | -0.037    -0.008    -0.014
1768819172.346344   17.397    0.435    1.400    -1.233    -1.000 | -0.037    -0.008    -0.014
1768819172.371016   8.609    0.215    -2.395    1.905    -1.000 | -0.037    -0.009    -0.014
1768819172.395706   5.744    0.144    -2.776    2.069    -0.931 | -0.037    -0.009    -0.014
1768819172.420014   29.933    0.748    -2.903    -0.364    -1.000 | -0.037    -0.010    -0.014
1768819172.447981   15.465    0.387    -2.138    3.000    -0.828 | -0.037    -0.010    -0.014
1768819172.476124   10.028    0.251    -3.000    1.161    -1.000 | -0.038    -0.008    -0.013
1768819172.502765   4.060    0.101    -2.772    2.379    -0.845 | -0.038    -0.008    -0.013
1768819172.536443   35.865    0.897    2.231    -1.079    -1.000 | -0.040    -0.005    -0.012
1768819172.565502   19.888    0.497    -2.650    -1.540    -1.000 | -0.040    -0.005    -0.012
1768819172.596462   0.000    0.000    -1.001    -0.477    -0.917 | -0.041    -0.002    -0.011
1768819172.628274   12.909    0.323    2.038    1.865    -1.000 | -0.041    -0.002    -0.011
1768819172.655297   35.209    0.880    1.166    -1.382    -0.992 | -0.041    -0.001    -0.011
1768819172.681970   4.487    0.112    0.612    -1.491    -1.000 | -0.041    -0.001    -0.011
1768819172.713427   27.597    0.690    0.950    0.056    -1.000 | -0.042    0.000    -0.011
1768819172.743170   19.485    0.487    2.481    1.950    -0.863 | -0.042    0.000    -0.011
1768819172.771194   40.000    1.000    -0.527    2.440    -1.000 | -0.042    0.001    -0.010
1768819172.796037   21.764    0.544    0.962    2.364    -1.000 | -0.042    0.001    -0.010
1768819172.822159   25.443    0.636    -0.825    -0.324    -1.000 | -0.042    0.002    -0.010
1768819172.857194   39.266    0.982    3.000    -2.276    -0.879 | -0.042    0.002    -0.010
1768819172.886252   11.510    0.288    -2.334    1.518    -0.955 | -0.041    0.002    -0.010
1768819172.923626   25.799    0.645    0.655    2.859    -0.886 | -0.041    0.002    -0.011
1768819172.951565   3.731    0.093    0.071    2.611    -0.854 | -0.041    0.002    -0.011
1768819172.977517   31.885    0.797    -0.989    -0.244    -0.871 | -0.039    0.001    -0.012
1768819173.006770   26.543    0.664    -2.466    -0.426    -1.000 | -0.039    0.001    -0.012
1768819173.041868   40.000    1.000    2.091    2.491    -0.741 | -0.038    0.001    -0.011
1768819173.072519   27.623    0.691    -2.306    2.469    -1.000 | -0.038    0.001    -0.011
1768819173.102309   12.860    0.321    2.572    3.000    -1.000 | -0.037    0.002    -0.011
