time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
15.880000   29.590    0.740    -0.455    0.262    0.180 | -0.067    0.013    -0.005
17.912000   18.284    0.457    -0.308    0.046    -0.347 | -0.075    -0.005    0.010
17.944000   19.056    0.476    0.086    0.280    -0.943 | -0.074    -0.006    0.009
17.972000   32.956    0.824    0.598    1.527    -0.863 | -0.074    -0.006    0.009
18.004000   12.154    0.304    -1.252    0.722    -0.892 | -0.074    -0.007    0.008
18.028000   25.362    0.634    -0.211    -0.886    -1.000 | -0.074    -0.008    0.008
18.056000   21.554    0.539    1.861    -1.104    -0.453 | -0.073    -0.008    0.008
18.076000   30.635    0.766    0.192    0.196    -1.000 | -0.073    -0.009    0.007
18.104000   3.853    0.096    1.888    1.334    -1.000 | -0.072    -0.009    0.007
18.132000   0.000    0.000    -2.475    -0.843    -1.000 | -0.072    -0.009    0.007
18.160000   17.878    0.447    -0.040    1.538    -1.000 | -0.072    -0.010    0.006
18.192000   20.821    0.521    -0.159    -2.085    -0.941 | -0.071    -0.010    0.006
18.220000   38.134    0.953    0.615    -1.370    -1.000 | -0.071    -0.010    0.006
18.244000   19.133    0.478    0.153    0.443    -0.973 | -0.070    -0.010    0.006
18.272000   18.507    0.463    0.744    -0.506    -1.000 | -0.070    -0.010    0.006
18.296000   29.375    0.734    2.592    -1.577    -1.000 | -0.069    -0.010    0.005
18.324000   28.422    0.711    -1.695    0.348    -0.953 | -0.069    -0.009    0.004
18.352000   17.255    0.431    -2.227    -0.855    -0.987 | -0.069    -0.009    0.004
18.376000   22.981    0.575    -1.379    2.151    -1.000 | -0.068    -0.009    0.004
18.404000   12.558    0.314    -0.795    -2.017    -0.942 | -0.068    -0.009    0.004
18.424000   39.505    0.988    2.169    -1.468    -1.000 | -0.067    -0.008    0.004
18.456000   9.235    0.231    1.550    2.679    -1.000 | -0.066    -0.007    0.004
18.472000   0.000    0.000    -1.547    0.537    -1.000 | -0.066    -0.007    0.004
18.500000   4.494    0.112    -0.874    1.947    -1.000 | -0.065    -0.006    0.003
18.524000   26.554    0.664    -2.646    -1.683    -1.000 | -0.064    -0.005    0.003
18.552000   36.293    0.907    -3.000    -0.535    -1.000 | -0.063    -0.004    0.003
18.572000   20.077    0.502    -1.036    -0.389    -0.923 | -0.063    -0.004    0.003
18.596000   5.738    0.143    2.403    0.751    -1.000 | -0.062    -0.003    0.002
18.624000   20.977    0.524    2.834    0.968    -0.981 | -0.062    -0.003    0.002
18.652000   29.701    0.743    2.570    1.549    -1.000 | -0.060    -0.001    0.001
18.680000   37.361    0.934    2.969    1.807    -1.000 | -0.059    -0.001    0.001
18.704000   38.160    0.954    -1.939    1.999    -0.929 | -0.059    -0.000    0.001
18.732000   0.000    0.000    -1.523    2.646    -1.000 | -0.059    0.000    -0.000
18.752000   37.756    0.944    -1.709    2.124    -1.000 | -0.059    0.000    -0.001
18.780000   22.298    0.557    2.046    -2.311    -1.000 | -0.058    -0.000    -0.002
18.816000   17.028    0.426    -0.896    3.000    -0.719 | -0.057    -0.000    -0.003
18.840000   0.000    0.000    2.136    1.924    -0.959 | -0.055    -0.000    -0.004
18.872000   36.688    0.917    -3.000    2.023    -1.000 | -0.054    -0.001    -0.005
18.900000   11.986    0.300    -2.610    2.840    -1.000 | -0.054    -0.001    -0.005
18.932000   17.397    0.435    1.400    -1.233    -1.000 | -0.053    -0.002    -0.005
18.952000   8.609    0.215    -2.395    1.905    -1.000 | -0.052    -0.002    -0.005
18.984000   5.744    0.144    -2.776    2.069    -0.931 | -0.052    -0.001    -0.005
19.000000   29.933    0.748    -2.903    -0.364    -1.000 | -0.052    -0.001    -0.005
19.028000   15.465    0.387    -2.138    3.000    -0.828 | -0.052    0.000    -0.004
19.056000   0.000    0.000    -2.022    0.579    -1.000 | -0.053    0.002    -0.002
19.084000   12.472    0.312    -2.407    3.000    -1.000 | -0.054    0.005    -0.001
19.108000   21.884    0.547    2.350    -0.096    -1.000 | -0.054    0.007    -0.001
19.132000   4.087    0.102    -3.000    -1.385    -1.000 | -0.055    0.008    0.000
19.156000   11.321    0.283    -2.148    -1.591    -0.866 | -0.055    0.010    0.001
19.184000   33.797    0.845    1.515    0.462    -1.000 | -0.055    0.010    0.001
19.208000   34.629    0.866    2.917    0.269    -0.992 | -0.054    0.011    0.001
19.232000   3.218    0.080    1.931    -1.775    -1.000 | -0.054    0.011    0.002
19.264000   40.000    1.000    0.276    1.765    -1.000 | -0.054    0.012    0.003
19.288000   14.543    0.364    1.305    2.089    -0.971 | -0.054    0.012    0.003
19.308000   40.000    1.000    2.723    2.369    -1.000 | -0.054    0.012    0.003
19.332000   34.598    0.865    0.453    2.364    -1.000 | -0.054    0.012    0.003
19.356000   15.935    0.398    -2.239    0.826    -1.000 | -0.053    0.012    0.004
19.380000   35.936    0.898    0.888    1.809    -1.000 | -0.052    0.011    0.004
19.408000   29.864    0.747    -2.153    2.122    -0.955 | -0.051    0.009    0.004
19.432000   11.388    0.285    0.931    3.000    -1.000 | -0.051    0.008    0.003
19.460000   3.394    0.085    -3.000    2.480    -1.000 | -0.049    0.005    0.002
19.480000   34.581    0.865    -0.934    -0.614    -0.929 | -0.048    0.002    0.001
19.508000   24.215    0.605    -1.617    -3.000    -1.000 | -0.048    0.002    0.001
19.536000   39.873    0.997    0.078    1.050    -0.842 | -0.045    -0.006    -0.003
19.560000   0.095    0.002    -2.311    2.706    -1.000 | -0.044    -0.009    -0.004
19.584000   39.529    0.988    1.465    2.710    -1.000 | -0.042    -0.013    -0.005
19.608000   35.016    0.875    2.313    -1.419    -1.000 | -0.041    -0.016    -0.005
19.636000   0.000    0.000    2.452    1.339    -1.000 | -0.040    -0.020    -0.003
19.660000   13.899    0.347    -0.888    3.000    -1.000 | -0.040    -0.020    -0.003
19.688000   0.000    0.000    -0.931    -0.118    -1.000 | -0.043    -0.022    -0.002
19.716000   36.929    0.923    -0.330    1.370    -1.000 | -0.045    -0.022    -0.002
19.740000   34.866    0.872    -0.703    0.572    -0.922 | -0.046    -0.021    -0.001
19.764000   20.727    0.518    0.481    -1.239    -1.000 | -0.046    -0.019    0.000
19.792000   8.164    0.204    0.830    2.450    -1.000 | -0.046    -0.014    0.002
19.820000   24.803    0.620    -0.625    2.521    -1.000 | -0.047    -0.011    0.003
19.848000   7.842    0.196    -2.987    3.000    -1.000 | -0.047    -0.011    0.003
19.876000   0.000    0.000    -2.664    2.718    -1.000 | -0.047    -0.006    0.006
19.900000   10.249    0.256    -2.952    3.000    -1.000 | -0.048    -0.002    0.008
19.928000   34.298    0.857    -3.000    1.685    -1.000 | -0.048    0.000    0.009
19.956000   29.834    0.746    -3.000    -1.671    -0.933 | -0.049    0.002    0.009
19.976000   4.517    0.113    -2.607    -0.056    -1.000 | -0.049    0.003    0.010
20.000000   12.017    0.300    -3.000    -2.029    -1.000 | -0.049    0.003    0.010
20.020000   0.000    0.000    1.564    -1.658    -0.968 | -0.049    0.004    0.010
20.044000   27.742    0.694    -3.000    3.000    -1.000 | -0.049    0.004    0.010
20.072000   22.866    0.572    -2.478    -1.602    -1.000 | -0.050    0.004    0.010
20.104000   30.962    0.774    0.082    -0.533    -0.938 | -0.050    0.004    0.010
20.124000   23.862    0.597    -3.000    -0.063    -1.000 | -0.050    0.004    0.010
20.152000   9.352    0.234    -2.876    -0.770    -1.000 | -0.051    0.004    0.010
20.172000   25.762    0.644    -1.220    1.393    -1.000 | -0.051    0.004    0.009
20.204000   34.382    0.860    2.369    -1.610    -0.928 | -0.051    0.005    0.009
20.236000   40.000    1.000    2.009    2.208    -0.836 | -0.051    0.005    0.009
20.256000   13.416    0.335    -2.800    0.620    -1.000 | -0.051    0.005    0.008
20.280000   11.037    0.276    -2.160    -1.748    -0.974 | -0.051    0.005    0.008
20.308000   33.140    0.828    -3.000    -1.356    -1.000 | -0.051    0.005    0.008
20.336000   27.174    0.679    -2.913    0.254    -1.000 | -0.052    0.005    0.007
20.364000   3.511    0.088    -2.887    -2.751    -0.934 | -0.052    0.005    0.007
20.396000   36.785    0.920    -2.616    0.524    -0.990 | -0.052    0.006    0.008
20.412000   0.000    0.000    -2.800    -3.000    -1.000 | -0.053    0.006    0.008
20.440000   20.201    0.505    -2.810    -2.735    -1.000 | -0.053    0.006    0.008
20.464000   12.910    0.323    0.079    -2.486    -1.000 | -0.052    0.007    0.007
20.492000   25.105    0.628    -2.942    -2.650    -1.000 | -0.053    0.007    0.007
20.520000   0.000    0.000    -1.491    -2.011    -0.833 | -0.054    0.007    0.007
20.544000   15.301    0.383    0.502    -3.000    -1.000 | -0.055    0.007    0.008
20.564000   0.000    0.000    -0.644    -3.000    -1.000 | -0.056    0.006    0.008
