time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
15.6120    0.0141     53943136.0000|  20.605   -0.245   0.041     0.046|  -0.002    -0.007    0.006|     0.000    0.000    0.000|  0.012    0.008    0.006|   0.000    0.000    0.023
15.6480    0.0146     50916744.0000|  20.105   0.689   0.105     0.639|  -0.001    -0.005    0.007|     0.000    0.000    0.002|  0.012    0.009    0.007|   0.000    0.000    0.045
15.6800    0.0126     49397584.0000|  20.093   -0.382   -0.259     0.231|  -0.001    -0.004    0.007|     0.000    0.000    0.003|  0.012    0.010    0.007|   0.000    0.000    0.065
15.7160    0.0104     47660512.0000|  17.184   0.215   0.027     1.000|  -0.000    -0.003    0.008|     0.000    0.000    0.006|  0.013    0.012    0.020|   0.000    0.000    0.087
15.7520    0.0106     45376864.0000|  17.022   -0.420   0.689     0.369|  0.001    -0.001    0.011|     0.000    0.000    0.010|  0.014    0.012    0.066|   0.000    0.000    0.110
15.7880    0.0117     44524364.0000|  20.873   -0.020   0.970     0.825|  0.001    0.000    0.015|     0.000    0.000    0.014|  0.012    0.009    0.077|   0.000    0.000    0.132
15.8200    0.0128     43255320.0000|  20.066   -0.038   -0.567     0.746|  0.002    0.001    0.018|     0.000    0.000    0.019|  0.010    0.009    0.049|   0.000    0.000    0.153
15.8560    0.0133     42977076.0000|  19.661   -0.108   -0.310     0.580|  0.002    0.002    0.021|     0.000    0.000    0.024|  0.011    0.009    0.049|   0.000    0.000    0.175
15.8920    0.0108     40631992.0000|  17.793   -0.135   0.313     0.977|  0.003    0.003    0.024|     0.000    0.000    0.031|  0.022    0.008    0.097|   0.000    0.000    0.198
15.9280    0.0185     39403068.0000|  23.188   0.085   0.477     0.579|  0.005    0.004    0.030|     0.000    0.000    0.039|  0.043    0.005    0.147|   0.000    0.000    0.220
15.9600    0.0111     38704004.0000|  22.609   -0.963   -0.817     0.953|  0.007    0.004    0.036|     0.000    0.000    0.046|  0.056    0.005    0.168|   0.000    0.000    0.240
15.9960    0.0132     38444128.0000|  20.000   -0.999   -0.595     1.000|  0.009    0.005    0.045|     0.000    0.000    0.055|  0.072    0.009    0.211|   0.000    0.000    0.262
16.0320    0.0174     37246876.0000|  23.133   -0.943   0.742     1.000|  0.012    0.006    0.054|     0.000    0.000    0.065|  0.093    0.013    0.319|   0.000    0.000    0.285
16.0680    0.0128     36179916.0000|  20.023   0.944   -0.338     1.000|  0.016    0.006    0.067|     0.000    0.000    0.076|  0.115    0.019    0.401|   0.000    0.000    0.308
16.1000    0.0097     35414760.0000|  19.801   0.022   0.500     1.000|  0.020    0.008    0.083|     0.000    0.000    0.086|  0.131    0.033    0.451|   0.000    0.000    0.327
16.1360    0.0135     34390136.0000|  19.645   -0.394   1.037     1.000|  0.026    0.010    0.105|     0.000    0.000    0.098|  0.150    0.068    0.501|   0.000    0.000    0.350
16.1720    0.0112     32521044.0000|  17.787   0.346   -0.541     0.874|  0.032    0.013    0.124|     0.000    0.000    0.111|  0.169    0.104    0.524|   0.000    0.000    0.373
16.2080    0.0117     30126482.0000|  23.188   -0.432   -1.540     1.000|  0.039    0.019    0.150|     0.000    0.000    0.125|  0.195    0.151    0.564|   0.000    0.000    0.395
16.2400    0.0097     29330372.0000|  23.462   0.350   0.720     0.794|  0.046    0.026    0.171|     0.000    0.000    0.138|  0.223    0.188    0.579|   0.000    0.000    0.415
16.2760    0.0107     27231898.0000|  21.207   -1.290   0.344     1.000|  0.056    0.036    0.199|     0.000    0.000    0.153|  0.266    0.239    0.637|   0.000    0.000    0.438
16.3120    0.0105     26191884.0000|  18.413   -1.502   1.644     0.949|  0.064    0.046    0.224|     0.000    0.000    0.169|  0.289    0.288    0.714|   0.000    0.000    0.460
16.3480    0.0103     24229328.0000|  21.984   -0.170   0.261     0.966|  0.076    0.062    0.258|     0.000    0.000    0.186|  0.316    0.353    0.820|   0.000    0.000    0.482
16.3800    0.0157     21676540.0000|  24.180   -0.718   0.955     0.946|  0.086    0.077    0.289|     0.000    0.000    0.202|  0.340    0.405    0.867|   0.000    0.000    0.502
16.4160    0.0123     19692986.0000|  18.105   1.639   0.781     0.962|  0.100    0.099    0.329|     0.000    0.000    0.221|  0.382    0.487    0.912|   0.000    0.000    0.525
16.4520    0.0114     16481155.0000|  20.383   1.300   -0.069     0.792|  0.109    0.114    0.355|     0.000    0.000    0.240|  0.417    0.553    0.976|   0.000    0.000    0.548
