Step 0/8000 | Time: 0.00s | Cost: 234.30
Step 20/8000 | Time: 0.40s | Cost: 456.95
Step 40/8000 | Time: 0.80s | Cost: 493.65
Step 60/8000 | Time: 1.20s | Cost: 488.60
Step 80/8000 | Time: 1.60s | Cost: 476.97
Step 100/8000 | Time: 2.00s | Cost: 436.54
Step 120/8000 | Time: 2.40s | Cost: 2078.43
Step 140/8000 | Time: 2.80s | Cost: 1955.45
Step 160/8000 | Time: 3.20s | Cost: 752.15
Step 180/8000 | Time: 3.60s | Cost: 454.46
Step 200/8000 | Time: 4.00s | Cost: 676.40
Step 220/8000 | Time: 4.40s | Cost: 433.44
Step 240/8000 | Time: 4.80s | Cost: 643.62
Step 260/8000 | Time: 5.20s | Cost: 568.43
Step 280/8000 | Time: 5.60s | Cost: 556.38
Step 300/8000 | Time: 6.00s | Cost: 631.92
Step 320/8000 | Time: 6.40s | Cost: 486.79
Step 340/8000 | Time: 6.80s | Cost: 665.06
Step 360/8000 | Time: 7.20s | Cost: 490.79
Step 380/8000 | Time: 7.60s | Cost: 712.86
Step 400/8000 | Time: 8.00s | Cost: 464.89
Step 420/8000 | Time: 8.40s | Cost: 673.96
Step 440/8000 | Time: 8.80s | Cost: 432.81
Step 460/8000 | Time: 9.20s | Cost: 419.44
Step 480/8000 | Time: 9.60s | Cost: 423.28
Step 500/8000 | Time: 10.00s | Cost: 804.40
Step 520/8000 | Time: 10.40s | Cost: 471.61
Step 540/8000 | Time: 10.80s | Cost: 484.78
Step 560/8000 | Time: 11.20s | Cost: 685.65
Step 580/8000 | Time: 11.60s | Cost: 911.96
Step 600/8000 | Time: 12.00s | Cost: 683.32
Step 620/8000 | Time: 12.40s | Cost: 785.28
Step 640/8000 | Time: 12.80s | Cost: 517.79
Step 660/8000 | Time: 13.20s | Cost: 443.66
Step 680/8000 | Time: 13.60s | Cost: 4670.83
Step 700/8000 | Time: 14.00s | Cost: 3314.62
Step 720/8000 | Time: 14.40s | Cost: 747.99
Step 740/8000 | Time: 14.80s | Cost: 573.27
Step 760/8000 | Time: 15.20s | Cost: 478.04
Step 780/8000 | Time: 15.60s | Cost: 757.13
Step 800/8000 | Time: 16.00s | Cost: 791.41
Step 820/8000 | Time: 16.40s | Cost: 604.56
Step 840/8000 | Time: 16.80s | Cost: 561.24
Step 860/8000 | Time: 17.20s | Cost: 572.40
Step 880/8000 | Time: 17.60s | Cost: 665.01
Step 900/8000 | Time: 18.00s | Cost: 603.81
Step 920/8000 | Time: 18.40s | Cost: 523.24
Step 940/8000 | Time: 18.80s | Cost: 499.01
Step 960/8000 | Time: 19.20s | Cost: 652.31
Step 980/8000 | Time: 19.60s | Cost: 465.45
Step 1000/8000 | Time: 20.00s | Cost: 666.25
Step 1020/8000 | Time: 20.40s | Cost: 568.89
Step 1040/8000 | Time: 20.80s | Cost: 608.79
Step 1060/8000 | Time: 21.20s | Cost: 577.21
Step 1080/8000 | Time: 21.60s | Cost: 553.63
Step 1100/8000 | Time: 22.00s | Cost: 508.36
Step 1120/8000 | Time: 22.40s | Cost: 599.22
Step 1140/8000 | Time: 22.80s | Cost: 616.01
Step 1160/8000 | Time: 23.20s | Cost: 515.36
Step 1180/8000 | Time: 23.60s | Cost: 458.48
Step 1200/8000 | Time: 24.00s | Cost: 506.75
Step 1220/8000 | Time: 24.40s | Cost: 751.34
Step 1240/8000 | Time: 24.80s | Cost: 682.74
Step 1260/8000 | Time: 25.20s | Cost: 728.05
Step 1280/8000 | Time: 25.60s | Cost: 824.53
Step 1300/8000 | Time: 26.00s | Cost: 642.12
Step 1320/8000 | Time: 26.40s | Cost: 511.20
Step 1340/8000 | Time: 26.80s | Cost: 633.79
Step 1360/8000 | Time: 27.20s | Cost: 616.48
Step 1380/8000 | Time: 27.60s | Cost: 549.53
Step 1400/8000 | Time: 28.00s | Cost: 555.42
Step 1420/8000 | Time: 28.40s | Cost: 457.64
Step 1440/8000 | Time: 28.80s | Cost: 397.01
Step 1460/8000 | Time: 29.20s | Cost: 455.10
Step 1480/8000 | Time: 29.60s | Cost: 511.00
Step 1500/8000 | Time: 30.00s | Cost: 496.86
Step 1520/8000 | Time: 30.40s | Cost: 409.25
Step 1540/8000 | Time: 30.80s | Cost: 563.01
Step 1560/8000 | Time: 31.20s | Cost: 518.69
Step 1580/8000 | Time: 31.60s | Cost: 561.32
Step 1600/8000 | Time: 32.00s | Cost: 521.55
Step 1620/8000 | Time: 32.40s | Cost: 513.49
Step 1640/8000 | Time: 32.80s | Cost: 491.15
Step 1660/8000 | Time: 33.20s | Cost: 494.46
Step 1680/8000 | Time: 33.60s | Cost: 606.51
Step 1700/8000 | Time: 34.00s | Cost: 573.48
Step 1720/8000 | Time: 34.40s | Cost: 539.67
Step 1740/8000 | Time: 34.80s | Cost: 690.43
Step 1760/8000 | Time: 35.20s | Cost: 380.61
Step 1780/8000 | Time: 35.60s | Cost: 792.65
Step 1800/8000 | Time: 36.00s | Cost: 895.20
Step 1820/8000 | Time: 36.40s | Cost: 742.12
Step 1840/8000 | Time: 36.80s | Cost: 818.99
Step 1860/8000 | Time: 37.20s | Cost: 739.93
Step 1880/8000 | Time: 37.60s | Cost: 493.93
Step 1900/8000 | Time: 38.00s | Cost: 444.65
Step 1920/8000 | Time: 38.40s | Cost: 498.00
Step 1940/8000 | Time: 38.80s | Cost: 547.46
Step 1960/8000 | Time: 39.20s | Cost: 611.97
Step 1980/8000 | Time: 39.60s | Cost: 485.15
Step 2000/8000 | Time: 40.00s | Cost: 548.49
Step 2020/8000 | Time: 40.40s | Cost: 518.67
Step 2040/8000 | Time: 40.80s | Cost: 472.14
Step 2060/8000 | Time: 41.20s | Cost: 533.66
Step 2080/8000 | Time: 41.60s | Cost: 565.35
Step 2100/8000 | Time: 42.00s | Cost: 603.62
Step 2120/8000 | Time: 42.40s | Cost: 601.60
Step 2140/8000 | Time: 42.80s | Cost: 590.83
Step 2160/8000 | Time: 43.20s | Cost: 619.47
Step 2180/8000 | Time: 43.60s | Cost: 544.73
Step 2200/8000 | Time: 44.00s | Cost: 623.00
Step 2220/8000 | Time: 44.40s | Cost: 600.77
Step 2240/8000 | Time: 44.80s | Cost: 589.37
Step 2260/8000 | Time: 45.20s | Cost: 517.99
Step 2280/8000 | Time: 45.60s | Cost: 625.00
Step 2300/8000 | Time: 46.00s | Cost: 619.22
Step 2320/8000 | Time: 46.40s | Cost: 649.48
Step 2340/8000 | Time: 46.80s | Cost: 514.96
Step 2360/8000 | Time: 47.20s | Cost: 534.67
Step 2380/8000 | Time: 47.60s | Cost: 580.18
Step 2400/8000 | Time: 48.00s | Cost: 814.22
Step 2420/8000 | Time: 48.40s | Cost: 689.62
Step 2440/8000 | Time: 48.80s | Cost: 1603.88
Step 2460/8000 | Time: 49.20s | Cost: 1281.28
Step 2480/8000 | Time: 49.60s | Cost: 971.05
Step 2500/8000 | Time: 50.00s | Cost: 824.93
Step 2520/8000 | Time: 50.40s | Cost: 632.62
Step 2540/8000 | Time: 50.80s | Cost: 605.89
Step 2560/8000 | Time: 51.20s | Cost: 434.77
Step 2580/8000 | Time: 51.60s | Cost: 585.08
Step 2600/8000 | Time: 52.00s | Cost: 718.74
Step 2620/8000 | Time: 52.40s | Cost: 599.00
Step 2640/8000 | Time: 52.80s | Cost: 602.53
Step 2660/8000 | Time: 53.20s | Cost: 517.93
Step 2680/8000 | Time: 53.60s | Cost: 449.09
Step 2700/8000 | Time: 54.00s | Cost: 536.99
Step 2720/8000 | Time: 54.40s | Cost: 599.40
Step 2740/8000 | Time: 54.80s | Cost: 628.40
Step 2760/8000 | Time: 55.20s | Cost: 613.64
Step 2780/8000 | Time: 55.60s | Cost: 752.30
Step 2800/8000 | Time: 56.00s | Cost: 568.67
Step 2820/8000 | Time: 56.40s | Cost: 821.01
Step 2840/8000 | Time: 56.80s | Cost: 775.15
Step 2860/8000 | Time: 57.20s | Cost: 711.64
Step 2880/8000 | Time: 57.60s | Cost: 677.42
Step 2900/8000 | Time: 58.00s | Cost: 601.56
Step 2920/8000 | Time: 58.40s | Cost: 654.98
Step 2940/8000 | Time: 58.80s | Cost: 474.45
Step 2960/8000 | Time: 59.20s | Cost: 940.26
Step 2980/8000 | Time: 59.60s | Cost: 752.72
Step 3000/8000 | Time: 60.00s | Cost: 488.34
Step 3020/8000 | Time: 60.40s | Cost: 560.80
Step 3040/8000 | Time: 60.80s | Cost: 807.19
Step 3060/8000 | Time: 61.20s | Cost: 562.26
Step 3080/8000 | Time: 61.60s | Cost: 495.90
Step 3100/8000 | Time: 62.00s | Cost: 535.75
Step 3120/8000 | Time: 62.40s | Cost: 609.57
Step 3140/8000 | Time: 62.80s | Cost: 793.92
Step 3160/8000 | Time: 63.20s | Cost: 462.07
Step 3180/8000 | Time: 63.60s | Cost: 698.22
Step 3200/8000 | Time: 64.00s | Cost: 491.52
Step 3220/8000 | Time: 64.40s | Cost: 557.53
Step 3240/8000 | Time: 64.80s | Cost: 611.43
Step 3260/8000 | Time: 65.20s | Cost: 408.51
Step 3280/8000 | Time: 65.60s | Cost: 466.78
Step 3300/8000 | Time: 66.00s | Cost: 448.82
Step 3320/8000 | Time: 66.40s | Cost: 738.98
Step 3340/8000 | Time: 66.80s | Cost: 454.55
Step 3360/8000 | Time: 67.20s | Cost: 473.57
Step 3380/8000 | Time: 67.60s | Cost: 532.13
Step 3400/8000 | Time: 68.00s | Cost: 528.58
Step 3420/8000 | Time: 68.40s | Cost: 455.13
Step 3440/8000 | Time: 68.80s | Cost: 496.24
Step 3460/8000 | Time: 69.20s | Cost: 551.61
Step 3480/8000 | Time: 69.60s | Cost: 444.51
Step 3500/8000 | Time: 70.00s | Cost: 779.50
Step 3520/8000 | Time: 70.40s | Cost: 561.20
Step 3540/8000 | Time: 70.80s | Cost: 469.61
Step 3560/8000 | Time: 71.20s | Cost: 521.59
Step 3580/8000 | Time: 71.60s | Cost: 493.88
Step 3600/8000 | Time: 72.00s | Cost: 578.56
Step 3620/8000 | Time: 72.40s | Cost: 686.25
Step 3640/8000 | Time: 72.80s | Cost: 1088.29
Step 3660/8000 | Time: 73.20s | Cost: 694.71
Step 3680/8000 | Time: 73.60s | Cost: 593.16
Step 3700/8000 | Time: 74.00s | Cost: 679.65
Step 3720/8000 | Time: 74.40s | Cost: 616.03
Step 3740/8000 | Time: 74.80s | Cost: 624.34
Step 3760/8000 | Time: 75.20s | Cost: 735.92
Step 3780/8000 | Time: 75.60s | Cost: 446.46
Step 3800/8000 | Time: 76.00s | Cost: 480.48
Step 3820/8000 | Time: 76.40s | Cost: 560.28
Step 3840/8000 | Time: 76.80s | Cost: 441.25
Step 3860/8000 | Time: 77.20s | Cost: 691.72
Step 3880/8000 | Time: 77.60s | Cost: 626.82
Step 3900/8000 | Time: 78.00s | Cost: 601.58
Step 3920/8000 | Time: 78.40s | Cost: 670.04
Step 3940/8000 | Time: 78.80s | Cost: 550.08
Step 3960/8000 | Time: 79.20s | Cost: 431.01
Step 3980/8000 | Time: 79.60s | Cost: 401.83
Step 4000/8000 | Time: 80.00s | Cost: 473.48
Step 4020/8000 | Time: 80.40s | Cost: 456.06
Step 4040/8000 | Time: 80.80s | Cost: 521.17
Step 4060/8000 | Time: 81.20s | Cost: 500.23
Step 4080/8000 | Time: 81.60s | Cost: 511.97
Step 4100/8000 | Time: 82.00s | Cost: 556.74
Step 4120/8000 | Time: 82.40s | Cost: 560.48
Step 4140/8000 | Time: 82.80s | Cost: 467.88
Step 4160/8000 | Time: 83.20s | Cost: 503.19
Step 4180/8000 | Time: 83.60s | Cost: 637.03
Step 4200/8000 | Time: 84.00s | Cost: 815.58
Step 4220/8000 | Time: 84.40s | Cost: 701.36
Step 4240/8000 | Time: 84.80s | Cost: 879.69
Step 4260/8000 | Time: 85.20s | Cost: 832.88
Step 4280/8000 | Time: 85.60s | Cost: 768.09
Step 4300/8000 | Time: 86.00s | Cost: 635.38
Step 4320/8000 | Time: 86.40s | Cost: 634.83
Step 4340/8000 | Time: 86.80s | Cost: 519.62
Step 4360/8000 | Time: 87.20s | Cost: 463.39
Step 4380/8000 | Time: 87.60s | Cost: 465.77
Step 4400/8000 | Time: 88.00s | Cost: 432.45
Step 4420/8000 | Time: 88.40s | Cost: 595.67
Step 4440/8000 | Time: 88.80s | Cost: 773.83
Step 4460/8000 | Time: 89.20s | Cost: 760.64
Step 4480/8000 | Time: 89.60s | Cost: 749.19
Step 4500/8000 | Time: 90.00s | Cost: 536.65
Step 4520/8000 | Time: 90.40s | Cost: 424.07
Step 4540/8000 | Time: 90.80s | Cost: 565.32
Step 4560/8000 | Time: 91.20s | Cost: 589.15
Step 4580/8000 | Time: 91.60s | Cost: 385.98
Step 4600/8000 | Time: 92.00s | Cost: 505.23
Step 4620/8000 | Time: 92.40s | Cost: 743.92
Step 4640/8000 | Time: 92.80s | Cost: 899.09
Step 4660/8000 | Time: 93.20s | Cost: 573.55
Step 4680/8000 | Time: 93.60s | Cost: 555.36
Step 4700/8000 | Time: 94.00s | Cost: 482.40
Step 4720/8000 | Time: 94.40s | Cost: 623.19
Step 4740/8000 | Time: 94.80s | Cost: 612.44
Step 4760/8000 | Time: 95.20s | Cost: 572.18
Step 4780/8000 | Time: 95.60s | Cost: 807.19
Step 4800/8000 | Time: 96.00s | Cost: 862.76
Step 4820/8000 | Time: 96.40s | Cost: 513.88
Step 4840/8000 | Time: 96.80s | Cost: 509.20
Step 4860/8000 | Time: 97.20s | Cost: 753.25
Step 4880/8000 | Time: 97.60s | Cost: 426.58
Step 4900/8000 | Time: 98.00s | Cost: 571.14
